month,location,new_cases,new_deaths,population_density,median_age,gdp_per_capita,life_expectancy,gdp_per_capita_cat
2021-01,Albania,76350.0,1358.0,104.871,38.0,11803.431,78.57,0
2021-01,Austria,405558.0,9278.0,106.749,44.4,45436.686,81.54,1
2021-01,Belarus,246570.0,1708.0,46.858,40.3,17167.967,74.79,0
2021-01,Belgium,706478.0,21308.0,375.564,41.8,42658.576,81.63,1
2021-01,Bosnia and Herzegovina,121891.0,4696.0,68.496,42.5,11713.895,77.4,0
2021-01,Bulgaria,218618.0,9028.0,65.18,44.7,18563.307,75.05,0
2021-01,Croatia,232090.0,4998.0,73.726,44.0,22669.797,78.49,0
2021-01,Cyprus,31228.0,200.0,127.657,37.3,32415.132,80.98,1
2021-01,Czechia,993678.0,16754.0,137.176,43.3,32605.906,79.38,1
2021-01,Denmark,198095.0,2106.0,136.52,42.3,46682.515,80.9,1
2021-01,Estonia,49794.0,494.0,31.033,42.7,29481.252,78.74,0
2021-01,Finland,49713.0,724.0,18.136,42.8,40585.721,81.91,1
2021-01,France,2931084.0,79905.0,122.578,42.0,38605.671,82.66,1
2021-01,Germany,2221290.0,70817.0,237.016,46.6,45229.245,81.33,1
2021-01,Greece,161239.0,5825.0,83.479,45.3,24574.382,82.24,0
2021-01,Hungary,367586.0,12524.0,108.043,43.4,26777.561,76.88,0
2021-01,Iceland,6029.0,29.0,3.404,37.3,46482.958,82.99,1
2021-01,Ireland,194970.0,3558.0,69.874,38.7,67335.293,82.3,1
2021-01,Italy,2541783.0,88279.0,205.859,47.9,35220.084,83.51,1
2021-01,Latvia,66239.0,1363.0,31.212,43.9,25063.846,75.29,0
2021-01,Lithuania,184447.0,2822.0,45.135,43.5,29524.265,75.93,0
2021-01,Luxembourg,43288.0,337.0,231.447,39.7,94277.965,82.25,1
2021-01,Malta,18314.0,284.0,1454.037,42.4,36513.323,82.53,1
2021-01,Moldova,159513.0,3621.0,123.655,37.6,5189.972,71.9,0
2021-01,Montenegro,59813.0,694.0,46.28,39.1,16409.288,76.88,0
2021-01,Netherlands,982941.0,14348.0,508.544,43.2,48472.545,82.28,1
2021-01,North Macedonia,92726.0,3376.0,82.6,39.1,13111.214,75.8,0
2021-01,Norway,63213.0,563.0,14.462,39.7,64800.057,82.4,1
2021-01,Poland,1515547.0,37258.0,124.027,41.8,27216.445,78.73,0
2021-01,Portugal,685673.0,12791.0,112.371,46.2,27936.896,82.05,0
2021-01,Romania,726918.0,18264.0,85.129,43.0,23313.199,76.05,0
2021-01,Russia,3850439.0,73182.0,8.823,39.6,24765.954,72.58,0
2021-01,Serbia,393897.0,4000.0,80.291,41.2,14048.881,76.0,0
2021-01,Slovakia,249913.0,4642.0,113.128,41.2,30155.152,77.54,0
2021-01,Slovenia,166921.0,3857.0,102.619,44.5,31400.84,81.32,1
2021-01,Spain,2859888.0,66379.0,93.105,45.5,34272.36,83.56,1
2021-01,Sweden,573754.0,12190.0,24.718,41.0,46949.283,82.8,1
2021-01,Switzerland,522321.0,9165.0,214.243,43.1,57410.166,83.78,1
2021-01,Ukraine,1179187.0,20197.0,77.39,41.4,7894.393,72.06,0
2021-01,United Kingdom,3880724.0,129420.0,272.898,40.8,39753.244,81.32,1
2021-02,Albania,105229.0,1756.0,104.871,38.0,11803.431,78.57,0
2021-02,Austria,448598.0,10309.0,106.749,44.4,45436.686,81.54,1
2021-02,Belarus,285959.0,1966.0,46.858,40.3,17167.967,74.79,0
2021-02,Belgium,766011.0,22291.0,375.564,41.8,42658.576,81.63,1
2021-02,Bosnia and Herzegovina,131690.0,5088.0,68.496,42.5,11713.895,77.4,0
2021-02,Bulgaria,246706.0,10167.0,65.18,44.7,18563.307,75.05,0
2021-02,Croatia,242617.0,5511.0,73.726,44.0,22669.797,78.49,0
2021-02,Cyprus,34936.0,236.0,127.657,37.3,32415.132,80.98,1
2021-02,Czechia,1247792.0,20859.0,137.176,43.3,32605.906,79.38,1
2021-02,Denmark,210732.0,2358.0,136.52,42.3,46682.515,80.9,1
2021-02,Estonia,71872.0,667.0,31.033,42.7,29481.252,78.74,0
2021-02,Finland,65895.0,817.0,18.136,42.8,40585.721,81.91,1
2021-02,France,3415218.0,90533.0,122.578,42.0,38605.671,82.66,1
2021-02,Germany,2445398.0,77470.0,237.016,46.6,45229.245,81.33,1
2021-02,Greece,197162.0,6552.0,83.479,45.3,24574.382,82.24,0
2021-02,Hungary,428599.0,14974.0,108.043,43.4,26777.561,76.88,0
2021-02,Iceland,6076.0,29.0,3.404,37.3,46482.958,82.99,1
2021-02,Ireland,219329.0,4567.0,69.874,38.7,67335.293,82.3,1
2021-02,Italy,2907825.0,97507.0,205.859,47.9,35220.084,83.51,1
2021-02,Latvia,86184.0,1768.0,31.212,43.9,25063.846,75.29,0
2021-02,Lithuania,199162.0,3258.0,45.135,43.5,29524.265,75.93,0
2021-02,Luxembourg,48261.0,406.0,231.447,39.7,94277.965,82.25,1
2021-02,Malta,22886.0,335.0,1454.037,42.4,36513.323,82.53,1
2021-02,Moldova,184856.0,4183.0,123.655,37.6,5189.972,71.9,0
2021-02,Montenegro,74597.0,892.0,46.28,39.1,16409.288,76.88,0
2021-02,Netherlands,1093519.0,15833.0,508.544,43.2,48472.545,82.28,1
2021-02,North Macedonia,103003.0,3662.0,82.6,39.1,13111.214,75.8,0
2021-02,Norway,71728.0,622.0,14.462,39.7,64800.057,82.4,1
2021-02,Poland,1709156.0,43839.0,124.027,41.8,27216.445,78.73,0
2021-02,Portugal,775667.0,16346.0,112.371,46.2,27936.896,82.05,0
2021-02,Romania,799164.0,20287.0,85.129,43.0,23313.199,76.05,0
